date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:05	1241/1241	---M--	200	added ('OK')	text/xml	etag:%224d9-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.omit-xml-declaration.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.omit-xml-declaration.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:05	1241/1241	---M--	200	added ('OK')	text/xml	etag:%224d9-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/header.table.height.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/header.table.height.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:05	1241/1241	---M--	200	added ('OK')	text/xml	etag:%224d9-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/man.output.in.separate.dir.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/man.output.in.separate.dir.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:05	1242/1242	---M--	200	added ('OK')	text/xml	etag:%224da-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/footer.table.height.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/footer.table.height.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:06	1243/1243	---M--	200	added ('OK')	text/xml	etag:%224db-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/running.foot.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/running.foot.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:06	1246/1246	---M--	200	added ('OK')	text/xml	etag:%224de-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/fop.extensions.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/fop.extensions.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:06	1250/1250	---M--	200	added ('OK')	text/xml	etag:%224e2-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/toc.indent.width.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/toc.indent.width.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:07	1252/1252	---M--	200	added ('OK')	text/xml	etag:%224e4-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/table.cell.border.thickness.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/table.cell.border.thickness.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:07	1253/1253	---M--	200	added ('OK')	text/xml	etag:%224e5-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/informaltable.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/informaltable.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:07	1256/1256	---M--	200	added ('OK')	text/xml	etag:%224e8-47c45598f6500%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.standalone.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.standalone.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:07	1261/1261	---M--	200	added ('OK')	text/xml	etag:%224ed-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.encoding.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.encoding.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:08	1263/1263	---M--	200	added ('OK')	text/xml	etag:%224ef-47c45598f6500%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/annotation.graphic.close.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/annotation.graphic.close.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:08	1264/1264	---M--	200	added ('OK')	text/xml	etag:%224f0-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/man.indent.blurbs.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/man.indent.blurbs.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:08	1265/1265	---M--	200	added ('OK')	text/xml	etag:%224f1-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/formal.title.placement.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/formal.title.placement.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:09	1265/1265	---M--	200	added ('OK')	text/xml	etag:%224f1-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/ulink.footnotes.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/ulink.footnotes.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:09	1266/1266	---M--	200	added ('OK')	text/xml	etag:%224f2-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/compact.list.item.spacing.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/compact.list.item.spacing.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:09	1268/1268	---M--	200	added ('OK')	text/xml	etag:%224f4-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/html.cleanup.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/html.cleanup.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:09	1271/1271	---M--	200	added ('OK')	text/xml	etag:%224f7-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/admonition.title.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/admonition.title.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:10	1272/1272	---M--	200	added ('OK')	text/xml	etag:%224f8-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/rootid.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/rootid.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:10	1273/1273	---M--	200	added ('OK')	text/xml	etag:%224f9-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.cdata-section-elements.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.cdata-section-elements.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:10	1274/1274	---M--	200	added ('OK')	text/xml	etag:%224fa-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/dingbat.font.family.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/dingbat.font.family.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:10	1274/1274	---M--	200	added ('OK')	text/xml	etag:%224fa-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/passivetex.extensions.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/passivetex.extensions.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:11	1278/1278	---M--	200	added ('OK')	text/xml	etag:%224fe-47c45599ea740%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.doctype-system.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/chunker.output.doctype-system.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
09:17:11	1278/1278	---M--	200	added ('OK')	text/xml	etag:%224fe-47c4559ade980%22	http://docbook.sourceforge.net/release/xsl/1.76.1/params/glossdef.block.properties.xml	/home/annb/websites/DocBook/docbook.sourceforge.net/release/xsl/1.76.1/params/glossdef.block.properties.xml	(from http://docbook.sourceforge.net/release/xsl/1.76.1/params/)
